BOLOMBOY JOEL,22:10,8,3/3,0,2/4,1,2,3,0,1,1,0,0,1,2,10,03.04.2021,CSKA,Anadolu Efes,FALSE
JAMES MIKE,25:14,5,0/4,1/5,2/2,0,0,0,8,0,2,0,0,0,2,5,03.04.2021,CSKA,Anadolu Efes,FALSE
HILLIARD DARRUN,15:31,7,2/4,1/2,0,1,2,3,0,1,2,0,0,0,1,7,03.04.2021,CSKA,Anadolu Efes,FALSE
HACKETT DANIEL,10:22,7,2/2,1/2,0,0,1,1,2,0,2,0,0,5,1,3,03.04.2021,CSKA,Anadolu Efes,FALSE
ANTONOV SEMEN,4:05,0,0/1,0/1,0,0,0,0,0,0,0,0,0,1,0,-3,03.04.2021,CSKA,Anadolu Efes,FALSE
STRELNIEKS JANIS,12:30,5,1/1,1/3,0,0,1,1,1,0,0,0,0,2,1,4,03.04.2021,CSKA,Anadolu Efes,FALSE
VOIGTMANN JOHANNES,19:24,10,2/2,2/5,0,1,2,3,3,1,2,0,0,2,1,11,03.04.2021,CSKA,Anadolu Efes,FALSE
CLYBURN WILL,20:53,4,2/3,0/3,0,3,3,6,1,1,2,0,0,4,2,4,03.04.2021,CSKA,Anadolu Efes,FALSE
SHENGELIA TORNIKE,24:16,14,5/9,1/4,1/4,2,3,5,3,2,5,0,1,1,3,10,03.04.2021,CSKA,Anadolu Efes,FALSE
KURBANOV NIKITA,17:36,3,1/1,0/1,1/2,2,1,3,0,0,0,0,0,3,1,2,03.04.2021,CSKA,Anadolu Efes,FALSE
ERIC MICHAEL,7:09,0,0/1,0,0,0,0,0,0,0,0,0,1,0,0,-2,03.04.2021,CSKA,Anadolu Efes,FALSE
BOLOMBOY JOEL,21:25,6,3/6,0/1,0,2,2,4,0,1,3,0,2,1,1,2,10.01.2020,CSKA,Barcelona,FALSE
JAMES MIKE,28:35,13,2/3,1/5,6/9,0,1,1,4,0,6,0,1,2,6,7,10.01.2020,CSKA,Barcelona,FALSE
HILLIARD DARRUN,23:06,8,1/4,2/4,0,0,2,2,3,1,0,0,0,5,0,4,10.01.2020,CSKA,Barcelona,FALSE
UKHOV IVAN,6:27,3,0/1,1/3,0,0,1,1,0,0,1,0,1,0,1,0,10.01.2020,CSKA,Barcelona,FALSE
HACKETT DANIEL,27:15,11,1/5,3/4,0,0,2,2,2,1,2,0,0,2,3,10,10.01.2020,CSKA,Barcelona,FALSE
VOIGTMANN JOHANNES,14:57,2,1/2,0/3,0,1,3,4,2,0,0,0,0,3,1,2,10.01.2020,CSKA,Barcelona,FALSE
CLYBURN WILL,30:23,8,3/6,0/3,2/5,2,2,4,1,1,0,0,0,2,6,9,10.01.2020,CSKA,Barcelona,FALSE
SHENGELIA TORNIKE,32:33,15,4/6,1/4,4/4,3,2,5,3,0,0,1,0,3,4,20,10.01.2020,CSKA,Barcelona,FALSE
KURBANOV NIKITA,15:19,0,0,0,0,0,2,2,1,0,1,0,0,1,0,1,10.01.2020,CSKA,Barcelona,FALSE
BOLOMBOY JOEL,28:01,5,1/3,1/2,0,2,5,7,0,2,1,1,0,3,0,8,10.08.2020,CSKA,Maccabi,TRUE
JAMES MIKE,30:03,25,2/4,4/6,9/10,0,2,2,3,0,2,0,0,2,7,28,10.08.2020,CSKA,Maccabi,TRUE
HILLIARD DARRUN,24:07,7,2/5,1/4,0,2,3,5,0,0,1,0,0,0,2,7,10.08.2020,CSKA,Maccabi,TRUE
UKHOV IVAN,3:44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,10.08.2020,CSKA,Maccabi,TRUE
HACKETT DANIEL,25:55,4,1/2,0/1,2/2,0,4,4,2,2,3,0,0,2,1,6,10.08.2020,CSKA,Maccabi,TRUE
VOIGTMANN JOHANNES,13:30,3,0/2,1/4,0,1,2,3,0,0,1,0,1,2,1,-2,10.08.2020,CSKA,Maccabi,TRUE
CLYBURN WILL,23:11,19,2/5,2/4,9/9,0,0,0,0,1,1,2,0,2,6,20,10.08.2020,CSKA,Maccabi,TRUE
SHENGELIA TORNIKE,31:04,8,3/8,0/3,2/3,3,9,12,3,0,2,0,1,4,7,14,10.08.2020,CSKA,Maccabi,TRUE
KURBANOV NIKITA,20:25,5,1/1,1/2,0,1,3,4,2,0,1,1,0,3,0,7,10.08.2020,CSKA,Maccabi,TRUE
BOLOMBOY JOEL,23:19,8,4/5,0/1,0,2,2,4,1,1,0,0,0,3,1,10,10.14.2020,CSKA,Fenerbahce,FALSE
KHOMENKO ALEXANDER,0:54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,10.14.2020,CSKA,Fenerbahce,FALSE
JAMES MIKE,40:53,14,2/6,2/7,4/5,1,4,5,6,0,4,0,1,1,4,13,10.14.2020,CSKA,Fenerbahce,FALSE
HILLIARD DARRUN,14:45,3,0/1,1/4,0/1,0,1,1,0,1,3,0,0,1,1,-3,10.14.2020,CSKA,Fenerbahce,FALSE
UKHOV IVAN,9:32,0,0,0/1,0,0,1,1,1,0,0,0,0,0,0,1,10.14.2020,CSKA,Fenerbahce,FALSE
HACKETT DANIEL,25:01,5,0/1,1/2,2/2,0,2,2,5,1,1,0,0,4,2,8,10.14.2020,CSKA,Fenerbahce,FALSE
VOIGTMANN JOHANNES,19:33,8,1/3,2/2,0,1,4,5,1,2,2,1,0,2,1,12,10.14.2020,CSKA,Fenerbahce,FALSE
CLYBURN WILL,29:56,26,5/10,4/7,4/6,0,6,6,2,2,2,0,0,4,7,27,10.14.2020,CSKA,Fenerbahce,FALSE
SHENGELIA TORNIKE,26:03,8,2/5,0/4,4/6,3,5,8,1,2,2,0,0,3,3,8,10.14.2020,CSKA,Fenerbahce,FALSE
KURBANOV NIKITA,35:04,6,0/1,2/3,0,2,3,5,1,2,2,0,0,2,1,9,10.14.2020,CSKA,Fenerbahce,FALSE
BOLOMBOY JOEL,27:38,5,0,1/2,2/2,3,2,5,1,0,0,4,0,3,2,13,10.16.2020,CSKA,Alba,TRUE
JAMES MIKE,32:56,27,7/10,4/8,1/1,0,3,3,6,1,5,0,1,3,2,23,10.16.2020,CSKA,Alba,TRUE
HILLIARD DARRUN,19:45,8,2/3,0/1,4/4,0,1,1,2,0,2,0,0,2,3,8,10.16.2020,CSKA,Alba,TRUE
UKHOV IVAN,5:12,0,0,0/1,0,0,0,0,0,0,0,0,0,2,0,-3,10.16.2020,CSKA,Alba,TRUE
HACKETT DANIEL,19:19,3,0/2,1/3,0,0,1,1,1,2,2,0,1,4,2,-2,10.16.2020,CSKA,Alba,TRUE
VOIGTMANN JOHANNES,11:47,2,0/1,0,2/2,1,3,4,0,0,0,0,0,0,1,6,10.16.2020,CSKA,Alba,TRUE
CLYBURN WILL,30:06,25,5/8,4/6,3/4,2,2,4,1,1,3,0,1,4,3,20,10.16.2020,CSKA,Alba,TRUE
SHENGELIA TORNIKE,28:02,9,2/4,1/2,2/2,3,4,7,2,1,3,1,0,2,3,15,10.16.2020,CSKA,Alba,TRUE
MILUTINOV NIKOLA,7:27,4,0,0,4/6,0,1,1,0,0,0,0,0,0,4,7,10.16.2020,CSKA,Alba,TRUE
KURBANOV NIKITA,17:48,5,0/1,1/1,2/4,1,2,3,0,0,3,0,1,1,2,2,10.16.2020,CSKA,Alba,TRUE
KHOMENKO ALEXANDER,0:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22.2020,CSKA,Crvena Zvezda,FALSE
JAMES MIKE,33:20,9,2/5,0/4,5/6,0,1,1,8,2,3,0,1,3,5,10,10.22.2020,CSKA,Crvena Zvezda,FALSE
HILLIARD DARRUN,13:50,2,1/2,0/2,0,0,1,1,0,0,2,1,0,4,2,-3,10.22.2020,CSKA,Crvena Zvezda,FALSE
UKHOV IVAN,6:49,2,1/2,0,0,0,0,0,0,0,0,0,0,1,0,0,10.22.2020,CSKA,Crvena Zvezda,FALSE
HACKETT DANIEL,35:52,29,3/4,6/8,5/5,2,3,5,3,2,1,0,0,0,4,39,10.22.2020,CSKA,Crvena Zvezda,FALSE
ANTONOV SEMEN,0:29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,10.22.2020,CSKA,Crvena Zvezda,FALSE
VOIGTMANN JOHANNES,33:19,9,3/5,0/1,3/3,0,5,5,1,0,2,2,0,2,3,13,10.22.2020,CSKA,Crvena Zvezda,FALSE
CLYBURN WILL,36:17,18,5/10,1/5,5/6,2,2,4,1,0,2,0,0,2,4,13,10.22.2020,CSKA,Crvena Zvezda,FALSE
SHENGELIA TORNIKE,21:02,8,1/1,1/2,3/6,1,3,4,3,1,2,0,0,5,6,11,10.22.2020,CSKA,Crvena Zvezda,FALSE
MILUTINOV NIKOLA,9:24,2,1/1,0,0,1,2,3,0,0,0,0,0,2,0,3,10.22.2020,CSKA,Crvena Zvezda,FALSE
KURBANOV NIKITA,34:29,5,0/2,1/3,2/2,1,1,2,0,0,1,2,1,0,2,5,10.22.2020,CSKA,Crvena Zvezda,FALSE
JAMES MIKE,27:39,17,5/5,2/7,1/2,0,2,2,5,1,1,0,0,2,3,19,10.29.2020,CSKA,Valencia,TRUE
